metric/train_loss,metric/train_ppl,samples,step,throughput/batches_per_sec,throughput/device/batches_per_sec,throughput/device/flops_per_sec,throughput/device/mfu,throughput/device/samples_per_sec,throughput/device/tokens_per_sec,throughput/flops_per_sec,throughput/samples_per_sec,throughput/tokens_per_sec,time/total,time/train,time/val,total_tokens
1.9307847380638123,6.894918824391731,30,0,8.759789729670748,1.4599649549451248,0.0,0.0,1.4599649549451248,2990.0082277276156,0.0,8.759789729670748,17940.049366365693,23.883081424981356,23.883081424981356,0.0,368640.0
1.3227023005485534,3.7535509072551516,60,1,8.723181621613778,1.4538636036022963,0.0,0.0,1.4538636036022963,2977.5126601775028,0.0,8.723181621613778,17865.075961065017,45.21714430116117,45.21714430116117,0.0,737280.0
1.8148147851228713,6.139938864102223,90,2,8.616202602084112,1.4360337670140186,0.0,0.0,1.4360337670140186,2940.99715484471,0.0,8.616202602084112,17645.98292906826,66.05677880346775,66.05677880346775,0.0,1105920.0
2.3132019490003586,10.106734148036981,120,3,8.611988056187778,1.435331342697963,0.0,0.0,1.435331342697963,2939.5585898454283,0.0,8.611988056187778,17637.35153907257,87.00181514956057,87.00181514956057,0.0,1474560.0
3.096680444478989,22.124386119084566,150,4,8.588515357014284,1.4314192261690473,0.0,0.0,1.4314192261690473,2931.546575194209,0.0,8.588515357014284,17589.279451165254,107.97018982842565,107.97018982842565,0.0,1843200.0
1.103920391201973,3.0159666464101185,190,5,8.647386409130895,1.4412310681884823,0.0,0.0,1.4412310681884823,2951.641227650012,0.0,8.647386409130895,17709.847365900074,135.90821831300855,135.90821831300855,0.0,2334720.0
2.2087277442216875,9.104126244565839,220,6,8.627339838754654,1.4378899731257757,0.0,0.0,1.4378899731257757,2944.7986649615887,0.0,8.627339838754654,17668.791989769532,156.85733472555876,156.85733472555876,0.0,2703360.0
1.7711319386959077,5.877502570018665,250,7,8.625711420757028,1.4376185701261714,0.0,0.0,1.4376185701261714,2944.242831618399,0.0,8.625711420757028,17665.456989710394,177.84711293689907,177.84711293689907,0.0,3072000.0
1.5996665880084038,4.951381299257812,280,8,8.592506879229393,1.4320844798715655,0.0,0.0,1.4320844798715655,2932.909014776966,0.0,8.592506879229393,17597.454088661798,198.81008698232472,198.81008698232472,0.0,3440640.0
1.5418766498565675,4.673352292703001,310,9,8.630078368097985,1.4383463946829975,0.0,0.0,1.4383463946829975,2945.733416310779,0.0,8.630078368097985,17674.400497864674,219.77934939973056,219.77934939973056,0.0,3809280.0
1.6996850341558456,5.472223556754927,350,10,8.603523800486043,1.4339206334143404,0.0,0.0,1.4339206334143404,2936.669457232569,0.0,8.603523800486043,17620.016743395416,247.69982469268143,247.69982469268143,0.0,4300800.0
1.4134972035884856,4.110304870886979,380,11,8.606105107778506,1.4343508512964174,0.0,0.0,1.4343508512964174,2937.550543455063,0.0,8.606105107778506,17625.30326073038,268.6578392852098,268.6578392852098,0.0,4669440.0
1.5012445241212844,4.4872701126407355,410,12,8.598663772023198,1.4331106286705328,0.0,0.0,1.4331106286705328,2935.0105675172513,0.0,8.598663772023198,17610.06340510351,289.5971540827304,289.5971540827304,0.0,5038080.0
1.380512923002243,3.9769409689390005,440,13,8.593875582923317,1.4323125971538864,0.0,0.0,1.4323125971538864,2933.3761989711593,0.0,8.593875582923317,17600.257193826954,310.5566478334367,310.5566478334367,0.0,5406720.0
1.170366534590721,3.223173826741514,470,14,8.628611537881477,1.438101922980246,0.0,0.0,1.438101922980246,2945.232738263544,0.0,8.628611537881477,17671.396429581266,331.50517898984253,331.50517898984253,0.0,5775360.0
1.545491413772106,4.69027592697877,510,15,8.62688388073655,1.4378139801227583,0.0,0.0,1.4378139801227583,2944.643031291409,0.0,8.62688388073655,17667.858187748454,359.4567156136036,359.4567156136036,0.0,6266880.0
